N,P,K,temperature,humidity,ph,rainfall,season,location,label
39.95,16.46,26.32,21.97,54.41,6.76,33.61,Rabi,Madhya Pradesh,coriander
21.91,64.82,46.15,25.56,72.48,6.88,88.96,Kharif,Madhya Pradesh,soybean
29.52,14.78,29.04,27.56,90.99,5.91,197.26,Annual,Kerala,coconut
63.97,60.28,35.59,21.0,62.58,7.22,44.13,Zaid,Tamil Nadu,sunflower
32.81,62.71,49.87,27.83,67.87,6.87,56.22,Kharif,Madhya Pradesh,soybean
115.57,79.5,138.51,21.0,82.72,5.51,81.49,Rabi,West Bengal,potato
100.42,37.21,79.21,19.48,59.57,6.93,38.99,Rabi,Maharashtra,onion
116.87,44.26,34.91,19.63,43.13,7.06,84.36,Rabi,Punjab,wheat
77.67,57.58,52.76,17.98,52.84,6.03,49.11,Rabi,Madhya Pradesh,garlic
28.72,44.97,67.56,19.15,81.66,5.86,276.42,Annual,Kerala,cardamom
96.59,62.44,44.39,27.48,80.52,6.23,202.1,Kharif,Andhra Pradesh,rice
111.77,69.25,68.4,16.62,76.33,5.64,59.05,Rabi,Kerala,cauliflower
131.85,70.2,67.76,8.29,82.5,5.94,56.23,Rabi,Kerala,cauliflower
13.25,68.4,6.88,11.88,22.91,5.4,65.22,Kharif,Tamil Nadu,kidneybeans
32.89,119.38,189.58,21.82,73.67,5.81,89.52,Annual,West Bengal,grapes
18.77,25.35,3.04,20.09,83.46,6.46,122.95,Annual,Maharashtra,orange
19.16,146.35,204.37,21.77,73.55,6.44,58.84,Annual,Karnataka,grapes
96.89,69.73,74.38,29.3,75.92,6.53,61.76,Kharif,Karnataka,brinjal
104.26,37.49,25.84,20.61,80.58,7.67,44.3,Kharif,Kerala,cotton
53.98,41.8,20.85,26.33,57.46,6.51,53.11,Kharif,Uttar Pradesh,pearlmillet
80.25,55.5,48.01,19.69,57.69,6.81,44.94,Rabi,West Bengal,spinach
53.87,42.2,26.37,24.42,51.57,7.19,36.23,Rabi,Andhra Pradesh,coriander
57.53,31.06,13.16,25.04,70.97,5.7,52.18,Kharif,Andhra Pradesh,fingermillet
22.21,23.71,27.25,22.78,95.54,5.47,193.55,Annual,Tamil Nadu,coconut
23.44,27.48,66.96,25.06,76.88,6.13,209.09,Annual,Kerala,blackpepper
83.25,43.64,71.52,17.81,66.31,5.96,43.16,Rabi,Karnataka,onion
28.31,82.42,20.42,12.77,65.22,7.21,42.97,Rabi,West Bengal,lentil
28.85,27.46,66.48,24.7,73.32,4.64,260.25,Annual,Kerala,cardamom
101.58,59.32,69.2,24.14,75.19,6.84,73.85,Kharif,Andhra Pradesh,brinjal
33.02,35.79,62.16,20.12,82.77,5.49,236.17,Annual,Karnataka,cardamom
9.73,46.99,18.44,16.22,27.64,5.95,110.31,Kharif,Madhya Pradesh,kidneybeans
20.15,55.42,12.24,14.34,33.48,6.67,19.19,Rabi,Uttar Pradesh,fenugreek
41.11,70.57,33.83,33.92,91.64,7.03,110.64,Annual,Kerala,papaya
90.58,36.55,29.16,26.03,83.9,6.71,274.0,Kharif,Madhya Pradesh,rice
72.92,45.54,33.34,29.38,74.96,7.18,170.94,Kharif,Kerala,jute
16.14,27.87,50.83,26.38,69.15,6.31,77.11,Kharif,Tamil Nadu,groundnut
65.73,38.54,126.43,22.75,76.49,6.42,136.17,Kharif,Telangana,turmeric
20.4,44.08,8.24,27.89,83.41,6.11,44.45,Kharif,Madhya Pradesh,mungbean
81.28,45.93,45.64,25.1,80.9,6.6,164.63,Kharif,West Bengal,jute
71.2,56.84,67.09,22.88,63.52,7.05,63.34,Rabi,Karnataka,carrot
36.73,58.59,95.45,28.44,76.8,5.98,211.23,Kharif,Karnataka,ginger
18.65,77.97,24.32,18.23,71.7,6.97,36.41,Rabi,Telangana,lentil
33.04,32.2,60.38,24.97,80.32,5.79,206.73,Annual,Karnataka,blackpepper
4.28,23.73,41.46,22.27,97.74,5.99,47.5,Annual,Maharashtra,pomegranate
38.64,14.74,25.44,17.9,57.2,6.99,40.06,Rabi,Andhra Pradesh,coriander
35.88,18.23,64.43,23.52,78.58,5.56,207.13,Annual,Kerala,blackpepper
61.72,37.93,92.99,28.72,70.01,5.64,138.35,Kharif,Tamil Nadu,turmeric
37.42,14.84,24.87,16.9,54.1,6.81,48.08,Rabi,Karnataka,coriander
93.76,48.46,55.2,18.56,67.08,5.83,50.27,Rabi,Karnataka,onion
72.39,37.1,54.58,19.12,67.63,6.18,35.41,Rabi,Uttar Pradesh,garlic
29.27,57.9,25.46,32.7,76.04,7.36,68.76,Kharif,Andhra Pradesh,blackgram
70.41,26.99,41.58,25.27,57.92,6.3,51.13,Kharif,Karnataka,sorghum
13.6,21.09,12.79,19.87,90.14,6.67,137.54,Annual,Maharashtra,orange
116.27,72.85,108.07,18.33,79.59,5.83,65.82,Rabi,West Bengal,potato
87.67,63.8,30.27,19.23,50.46,6.19,63.77,Rabi,Punjab,wheat
49.51,27.47,15.95,20.64,57.34,6.31,36.33,Rabi,Uttar Pradesh,coriander
150.0,73.26,126.5,25.3,75.52,6.47,141.23,Annual,Karnataka,sugarcane
140.18,38.12,23.73,23.25,93.04,6.97,87.11,Kharif,Maharashtra,cotton
30.09,24.85,55.97,29.45,87.33,6.07,195.52,Annual,Kerala,blackpepper
26.56,71.42,30.84,18.14,60.55,7.1,38.55,Rabi,Punjab,peas
23.18,14.36,28.84,22.08,75.05,5.99,93.78,Annual,Maharashtra,guava
139.95,45.29,38.5,25.58,78.55,7.18,82.18,Kharif,Maharashtra,cotton
76.64,35.21,75.46,20.03,61.07,5.63,82.2,Rabi,Uttar Pradesh,carrot
23.74,8.6,32.58,26.55,91.52,5.56,235.87,Annual,Kerala,coconut
33.93,34.99,16.36,18.76,49.5,6.12,49.95,Rabi,Madhya Pradesh,coriander
27.46,19.27,21.27,22.17,61.62,6.59,96.74,Annual,Madhya Pradesh,guava
83.51,41.51,24.63,32.74,65.22,6.34,58.06,Kharif,Madhya Pradesh,maize
72.19,33.19,43.22,26.69,92.69,5.42,219.66,Annual,West Bengal,tea
61.79,34.88,33.42,23.96,65.08,6.74,75.83,Kharif,Karnataka,fingermillet
17.62,45.39,16.42,30.43,88.21,7.28,45.03,Kharif,Tamil Nadu,mungbean
74.49,42.31,37.49,17.54,61.14,5.62,47.42,Rabi,West Bengal,spinach
67.02,40.82,30.01,17.43,55.57,6.19,24.51,Rabi,Uttar Pradesh,mustard
19.05,41.75,27.41,24.62,61.16,5.92,92.38,Annual,Maharashtra,mango
115.09,39.73,21.35,23.96,68.65,6.88,168.04,Annual,Tamil Nadu,coffee
119.21,74.91,66.77,23.85,78.54,6.46,109.2,Annual,Maharashtra,banana
58.56,49.47,59.16,12.87,73.91,6.52,34.91,Rabi,Uttar Pradesh,garlic
97.66,52.78,71.48,18.43,58.71,5.91,31.45,Rabi,Uttar Pradesh,garlic
24.61,24.81,80.73,21.65,87.25,5.72,248.04,Annual,Karnataka,cardamom
42.4,28.13,20.95,23.93,57.51,5.64,96.97,Kharif,Karnataka,fingermillet
122.08,64.92,40.51,17.03,67.62,6.59,37.37,Rabi,West Bengal,cabbage
136.33,64.77,34.89,15.88,48.97,7.3,76.36,Rabi,Uttar Pradesh,wheat
108.21,33.87,33.01,25.47,69.86,7.34,152.07,Annual,Karnataka,coffee
18.4,64.39,30.44,27.01,44.05,5.52,133.39,Kharif,Uttar Pradesh,pigeonpeas
65.13,49.72,35.35,17.53,57.11,6.62,36.11,Rabi,Punjab,mustard
79.99,63.04,71.62,20.55,57.98,6.45,59.96,Kharif,Andhra Pradesh,tomato
93.05,34.91,47.07,26.99,83.93,6.42,241.86,Kharif,Uttar Pradesh,rice
24.87,54.15,14.69,19.88,22.53,5.56,92.01,Kharif,West Bengal,kidneybeans
81.62,58.56,77.86,20.16,55.63,6.52,52.2,Rabi,Uttar Pradesh,carrot
113.51,3.6,27.9,28.11,81.87,6.46,30.92,Zaid,Punjab,muskmelon
59.88,49.23,104.46,23.37,77.31,6.37,142.82,Kharif,Kerala,ginger
66.33,43.27,75.22,38.63,100.0,6.85,136.46,Annual,Andhra Pradesh,papaya
67.29,57.51,95.51,17.69,46.35,6.77,38.92,Rabi,Telangana,carrot
28.07,23.49,8.91,20.87,87.66,5.86,94.98,Annual,Maharashtra,orange
87.89,45.77,56.67,16.81,58.6,6.27,27.18,Rabi,Madhya Pradesh,garlic
130.21,74.21,33.94,19.18,37.17,6.45,82.74,Rabi,West Bengal,wheat
92.41,52.01,59.48,28.74,62.56,6.25,35.73,Kharif,Madhya Pradesh,brinjal
126.59,69.1,81.03,19.71,44.27,5.87,57.02,Rabi,Uttar Pradesh,cauliflower
33.11,61.76,39.72,15.38,57.81,6.98,70.87,Rabi,Uttar Pradesh,peas
79.06,23.29,55.65,18.29,63.35,6.19,18.21,Rabi,Telangana,onion
25.41,32.29,52.7,20.24,81.46,5.76,271.41,Annual,Kerala,cardamom
66.81,51.62,83.54,20.99,65.25,6.41,50.86,Rabi,Uttar Pradesh,carrot
28.83,59.77,16.24,15.17,70.64,6.78,15.5,Rabi,West Bengal,lentil
32.03,38.42,58.69,24.17,77.59,5.62,258.4,Annual,Karnataka,cardamom
55.69,25.95,69.37,27.14,83.45,5.5,172.22,Annual,Andhra Pradesh,blackpepper
26.92,63.8,34.47,26.37,45.62,5.71,110.5,Kharif,Punjab,pigeonpeas
113.5,89.07,66.92,13.15,73.66,6.35,52.91,Rabi,Punjab,cauliflower
11.31,17.54,3.3,20.76,85.05,6.24,98.55,Annual,Madhya Pradesh,orange
10.18,24.16,27.0,26.25,64.84,5.9,85.74,Annual,Uttar Pradesh,guava
87.04,60.69,32.21,24.58,91.08,7.04,187.77,Kharif,West Bengal,jute
19.37,44.99,54.01,24.32,57.08,6.88,69.17,Kharif,Karnataka,groundnut
84.81,16.25,51.81,26.44,93.88,5.49,30.53,Zaid,Uttar Pradesh,muskmelon
28.32,30.46,75.02,24.42,83.88,5.86,271.41,Annual,Kerala,cardamom
28.7,11.44,41.71,24.81,61.12,6.57,128.35,Annual,Uttar Pradesh,guava
24.26,45.81,5.09,25.76,77.4,6.82,57.55,Kharif,Maharashtra,mungbean
36.87,66.99,89.35,23.64,18.7,7.59,76.28,Rabi,Tamil Nadu,chickpea
31.42,29.51,29.68,17.43,67.85,6.38,39.47,Rabi,Madhya Pradesh,fenugreek
85.67,20.95,21.53,24.93,59.98,6.89,136.74,Annual,Tamil Nadu,coffee
46.28,45.49,64.11,26.7,77.66,6.68,192.0,Kharif,West Bengal,jute
65.27,63.51,64.27,28.11,78.23,5.54,77.89,Annual,Karnataka,banana
43.29,61.56,50.23,26.78,66.58,6.39,102.78,Kharif,Punjab,soybean
20.79,68.83,0.0,18.44,54.09,7.71,68.79,Rabi,Madhya Pradesh,lentil
22.94,60.4,29.35,27.65,63.68,7.62,81.93,Kharif,Tamil Nadu,blackgram
28.97,66.01,50.75,21.44,70.56,6.49,78.59,Kharif,Madhya Pradesh,soybean
26.7,134.66,192.07,24.27,83.82,6.19,68.51,Annual,Maharashtra,grapes
86.48,39.12,18.27,21.44,60.98,5.66,47.61,Zaid,Kerala,cucumber
34.51,143.55,210.0,32.67,74.57,5.49,27.05,Annual,Karnataka,grapes
81.86,47.25,52.02,14.33,51.65,5.54,53.9,Rabi,Uttar Pradesh,spinach
52.06,89.69,21.88,27.08,63.23,7.34,46.56,Kharif,Andhra Pradesh,blackgram
56.15,29.74,20.02,19.89,55.76,5.34,84.51,Kharif,Tamil Nadu,fingermillet
106.04,72.74,65.58,22.55,51.27,6.38,35.89,Kharif,Karnataka,tomato
112.85,16.75,13.41,23.86,49.84,6.87,122.25,Annual,Karnataka,coffee
42.08,25.35,18.15,24.05,49.61,6.23,80.62,Kharif,Andhra Pradesh,fingermillet
29.12,64.7,31.98,29.1,65.86,7.76,56.59,Kharif,Madhya Pradesh,soybean
119.57,59.64,131.46,13.88,62.49,5.9,68.54,Rabi,Uttar Pradesh,potato
107.17,77.59,60.8,22.38,70.15,6.0,80.62,Rabi,Punjab,cabbage
80.61,58.88,44.16,24.16,70.42,6.64,75.37,Kharif,Andhra Pradesh,okra
9.75,3.07,33.29,19.93,84.24,6.49,128.26,Annual,Tamil Nadu,pomegranate
89.36,79.37,77.74,26.16,75.7,5.54,133.5,Annual,Andhra Pradesh,banana
22.93,0.0,32.72,27.63,93.35,5.86,143.72,Annual,Karnataka,coconut
90.66,18.29,56.52,24.47,95.66,6.51,18.95,Zaid,Tamil Nadu,muskmelon
30.29,110.91,179.78,26.46,94.93,5.8,146.14,Rabi,Karnataka,apple
61.52,74.76,58.27,30.42,86.59,6.91,182.51,Annual,Tamil Nadu,papaya
134.12,74.67,115.46,22.02,61.97,5.3,61.99,Rabi,Punjab,potato
36.42,64.43,31.64,30.37,58.92,7.18,57.59,Kharif,Kerala,blackgram
87.31,51.53,20.54,25.21,52.72,6.44,61.66,Zaid,Karnataka,cucumber
109.54,29.64,43.31,26.36,91.16,6.52,25.97,Zaid,Punjab,muskmelon
67.65,37.87,71.3,19.4,58.75,6.0,29.1,Rabi,Madhya Pradesh,onion
48.65,53.44,44.64,31.98,87.68,6.51,147.94,Annual,West Bengal,papaya
28.32,18.76,32.45,31.1,95.42,6.38,181.82,Annual,Madhya Pradesh,coconut
79.22,53.86,38.21,23.46,79.91,6.58,167.19,Kharif,Madhya Pradesh,jute
66.51,29.05,49.84,29.75,89.1,7.04,119.27,Annual,Tamil Nadu,papaya
74.86,48.4,108.4,26.91,77.81,5.38,149.02,Kharif,Punjab,turmeric
25.68,140.67,210.0,23.31,90.69,5.45,135.61,Rabi,Telangana,apple
114.39,81.0,128.93,15.29,87.92,5.92,54.64,Rabi,Punjab,potato
9.57,72.36,9.31,28.99,48.89,5.48,175.64,Kharif,Maharashtra,pigeonpeas
110.7,61.65,34.99,18.82,55.81,6.44,51.89,Rabi,Uttar Pradesh,wheat
107.13,54.25,6.99,26.9,74.38,5.87,87.54,Kharif,Andhra Pradesh,maize
72.54,56.36,87.64,18.94,57.74,7.06,52.43,Rabi,Karnataka,carrot
126.56,48.98,51.16,21.37,68.2,6.35,49.03,Rabi,Uttar Pradesh,cabbage
148.38,46.5,11.01,24.73,74.73,6.76,50.95,Kharif,Maharashtra,cotton
93.8,38.51,52.17,23.71,50.98,6.71,100.11,Kharif,Andhra Pradesh,okra
17.97,60.79,23.51,30.81,31.36,6.76,56.16,Kharif,Maharashtra,mothbeans
22.54,48.14,27.18,29.08,72.07,6.78,110.37,Kharif,Madhya Pradesh,soybean
82.34,64.44,38.28,20.7,55.65,6.13,48.74,Rabi,Madhya Pradesh,onion
18.6,81.6,29.37,22.34,65.21,6.46,73.88,Rabi,Madhya Pradesh,lentil
74.68,47.83,52.75,26.27,70.11,6.82,68.21,Zaid,Karnataka,cucumber
58.92,41.17,93.4,30.88,76.8,6.69,169.62,Kharif,Kerala,ginger
22.24,95.77,19.03,25.26,58.15,5.92,193.18,Kharif,Madhya Pradesh,pigeonpeas
113.84,62.63,24.2,16.67,57.32,6.55,81.78,Rabi,Karnataka,wheat
12.11,56.02,21.09,32.96,39.69,5.87,144.21,Kharif,Karnataka,pigeonpeas
33.96,71.24,19.18,28.43,55.55,7.09,85.05,Kharif,Maharashtra,blackgram
57.52,45.31,20.48,19.63,57.46,5.96,63.35,Kharif,Maharashtra,sorghum
38.95,67.49,15.97,31.33,65.63,7.63,64.64,Kharif,Tamil Nadu,blackgram
26.79,59.64,82.53,26.34,18.33,7.99,87.81,Rabi,Uttar Pradesh,chickpea
52.96,32.48,12.73,20.52,79.01,6.13,91.13,Kharif,Karnataka,maize
15.36,26.86,51.74,18.46,88.95,6.15,106.39,Annual,Maharashtra,pomegranate
56.58,56.28,42.52,16.52,53.85,6.3,45.57,Rabi,Uttar Pradesh,garlic
72.2,12.11,30.72,27.03,44.57,6.28,55.24,Kharif,Tamil Nadu,pearlmillet
45.97,30.28,19.66,25.46,55.88,6.32,38.98,Rabi,Karnataka,coriander
14.13,57.25,25.86,15.0,23.14,6.17,103.24,Kharif,Madhya Pradesh,kidneybeans
58.22,46.76,62.7,34.84,99.21,6.9,134.9,Annual,Andhra Pradesh,papaya
65.48,56.79,99.54,27.93,80.71,5.87,128.94,Kharif,Karnataka,ginger
98.11,24.68,53.41,27.87,80.84,5.57,232.14,Annual,Kerala,tea
22.56,43.51,42.01,33.5,51.05,5.2,117.55,Annual,Karnataka,mango
108.9,29.15,37.06,20.9,80.27,5.88,28.0,Zaid,Telangana,watermelon
91.49,44.14,47.91,26.03,85.34,5.92,265.91,Kharif,Andhra Pradesh,rice
127.37,61.65,71.86,17.53,63.35,6.63,51.26,Rabi,West Bengal,cabbage
122.43,97.38,135.38,17.68,76.53,5.55,33.39,Rabi,West Bengal,potato
14.14,23.51,29.51,20.88,79.27,6.18,95.09,Annual,Madhya Pradesh,guava
14.13,129.56,210.0,21.08,90.24,6.13,76.29,Rabi,Andhra Pradesh,apple
23.8,35.39,0.0,14.77,55.06,7.0,30.62,Rabi,Uttar Pradesh,fenugreek
12.26,90.72,18.58,15.68,29.59,5.94,116.56,Kharif,Uttar Pradesh,kidneybeans
7.73,22.26,16.3,21.51,88.9,5.48,126.28,Annual,Maharashtra,orange
37.45,47.96,34.59,28.62,86.23,6.55,64.14,Kharif,Maharashtra,mungbean
38.84,87.11,103.09,13.34,31.96,6.84,94.61,Rabi,Uttar Pradesh,chickpea
60.18,30.64,12.23,25.19,61.45,6.22,50.99,Kharif,Andhra Pradesh,fingermillet
47.25,38.19,29.97,26.37,45.13,6.13,15.0,Kharif,Madhya Pradesh,sesame
12.67,59.69,20.0,27.54,87.96,6.2,30.66,Kharif,West Bengal,mungbean
50.68,53.31,46.93,19.69,59.05,6.48,34.78,Zaid,Telangana,sunflower
93.82,55.57,58.28,29.12,58.49,6.92,57.81,Kharif,West Bengal,tomato
68.82,25.69,29.84,22.07,73.6,6.02,61.81,Kharif,Uttar Pradesh,fingermillet
90.11,48.19,59.39,22.25,53.41,6.39,49.35,Rabi,Madhya Pradesh,onion
12.98,19.84,11.13,23.18,94.82,6.33,106.62,Annual,Uttar Pradesh,orange
63.93,24.04,47.1,30.61,48.8,6.51,58.48,Kharif,Madhya Pradesh,sorghum
26.98,136.28,210.0,22.25,89.52,5.5,109.84,Rabi,West Bengal,apple
25.66,124.59,210.0,22.78,80.51,6.14,73.41,Annual,Maharashtra,grapes
148.68,68.3,114.52,29.33,63.14,5.68,158.18,Annual,Uttar Pradesh,sugarcane
73.39,46.38,49.06,20.74,60.89,6.35,59.37,Rabi,Karnataka,onion
84.86,44.18,22.94,20.15,84.41,5.99,127.41,Kharif,Tamil Nadu,rice
25.52,39.27,12.68,29.97,83.48,7.17,47.33,Kharif,Madhya Pradesh,mungbean
150.0,58.72,106.48,27.24,78.45,6.66,169.72,Annual,Uttar Pradesh,sugarcane
27.22,27.15,20.3,32.05,51.9,6.18,111.63,Annual,Karnataka,mango
118.49,11.57,43.32,30.27,90.37,6.22,37.54,Zaid,Uttar Pradesh,muskmelon
70.04,58.3,60.88,15.61,52.3,6.87,55.51,Rabi,Uttar Pradesh,garlic
123.47,73.92,75.36,15.77,63.44,6.15,62.37,Rabi,Kerala,cabbage
99.36,8.6,46.71,25.78,75.08,5.99,42.4,Zaid,Karnataka,watermelon
39.5,27.43,22.11,26.25,70.09,5.73,117.47,Kharif,Tamil Nadu,fingermillet
45.7,27.54,32.45,25.61,56.58,6.88,57.05,Kharif,Andhra Pradesh,fingermillet
